StandortID,Periode,Probenart,Probenahmedatum,CDT_PPM,CRT_PPM,CUT_PPM,Hg_AMA_PPM,HGT_PPM,NIT_PPM,PBT_PPM,ZNT_PPM,PHCA,ORG_SUB
828,1,OBER-0-20,1999-12-16,0.7348,33.69403,74.9,0.313145,0.2638,34.88575,139.00168,288.28714,6.82,10.25
828,1,UNTER40-60,1999-12-16,0.28137,35.43861,28.41107,NA,0.07561,44.30852,39.75639,99.86579,6.88,2.33
828,2,OBER-0-20,2004-11-18,0.743,34.6,90.5,0.313,0.235,34.4,177,295.3,NA,14.505352
828,2,UNTER40-60,2004-11-18,0.406,35.2,30.2,NA,0.11434,42,55.4,107.4,NA,NA
828,3,OBER-0-20,2009-10-22,0.684,32.5,107.5,0.4199,0.26,32.1,129,306,6.69,13.273012
828,3,UNTER40-60,2009-10-22,0.396,32.6,44.3,NA,0.12,39,56.4,146.5,6.86,4.786185
828,4,OBER-0-20,2014-12-26,0.7094245,31.385812,111.3045545,0.275775,0.233492,32.2771725,567.724703,322.6737805,6.73,11.610457
828,5,OBER-0-20,2019-11-13,0.648,NA,107,0.3034,0.23,29.3,128,294,6.75,10.023457
828,5,UNTER40-60,2019-11-13,0.334,NA,30.1,0.1499,NA,36.5,45.5,104,6.69,2.641147
828,6,OBER-0-20,2024-11-12,0.6912,29.7054,188.9618,0.22359,0.2262,30.9407,122.2338,314.0482,6.84,9.87735
828,6,UNTER40-60,2024-11-12,0.4274,29.9765,43.2314,0.170796,0.1747,37.7869,74.3429,147.7029,6.81,3.510375
829,1,OBER-0-20,1999-12-16,2.91544,48.54652,326.68122,1.4766,1.229,36.58068,237.37927,525.20465,6.835,9.16
829,1,UNTER40-60,1999-12-16,0.33179,34.81895,38.60582,NA,0.19725,41.38365,43.35269,98.60519,6.93,2.6
829,2,OBER-0-20,2004-11-18,2.79,50.2,350.7,1.3575,1.14255,35.8,228,496.1,NA,11.67273
829,2,UNTER40-60,2004-11-18,0.92,36.8,52.4,NA,0.4004,40.9,79.6,155.5,NA,NA
829,3,OBER-0-20,2009-10-22,2.57,45.1,216,1.4881,1.22,33.3,217.5,483.8,6.77,13.53435
829,3,UNTER40-60,2009-10-22,0.434,34.5,131,NA,0.18,42.7,37.2,96.6,6.87,2.376877
829,4,OBER-0-20,2014-12-26,2.51,NA,184,1.2743,1.16,33.4,209,475,6.79,11.04552
829,4,UNTER40-60,2014-12-26,NA,NA,NA,0.3888,NA,NA,NA,NA,6.81,2.54955
829,5,OBER-0-20,2019-11-13,2.28,NA,169,1.1504,1.16,29.8,196,442,6.79,11.825392
829,5,UNTER40-60,2019-11-13,0.704,NA,55.9,0.562,NA,35.9,67,145,6.86,2.821065
829,6,OBER-0-20,2024-11-12,2.415,42.2811,184.8524,1.12128,1.1663,32.4905,765.4357,462.3463,6.76,9.144225
829,6,UNTER40-60,2024-11-12,0.6951,32.9826,52.5118,0.38673,0.3775,41.1453,63.6082,136.0731,6.83,2.540925
830,1,OBER-0-20,1999-12-16,1.724,75.48022,88.81468,1.0192,0.8948,30.58878,155.68199,402.23424,6.83,9.865
830,1,UNTER40-60,1999-12-16,0.58265,27.48644,37.31509,NA,0.37004,30.06654,50.91414,126.25863,7.16,2.79
830,2,OBER-0-20,2004-11-18,1.733,77.6,97.1,1.011,0.861,29.2,157,405.8,NA,12.200925
830,2,UNTER40-60,2004-11-18,1.057,36.9,55.8,NA,0.5884,30.5,81.2,218.3,NA,NA
830,3,OBER-0-20,2009-10-22,1.55,76.2,92.8,0.9521,0.87,29,139.3,400.1,6.86,11.538697
830,3,UNTER40-60,2009-10-22,1.05,39.9,57.9,NA,0.61,29.4,88.9,230.7,6.87,5.80566
830,4,OBER-0-20,2014-12-26,1.57,NA,93.2,0.9,0.76,27.6,144,417,6.73,9.578752
830,5,OBER-0-20,2019-11-26,1.54,NA,97.8,0.8221,0.85,27.1,157,391,6.86,10.140067
830,5,UNTER40-60,2019-11-26,0.548,NA,35.3,0.3469,NA,26.8,49.6,127,7.14,2.872125
830,6,OBER-0-20,2024-11-12,1.541,59.6659,110.265,0.846356,0.8142,41.7209,147.3944,392.1846,6.78,10.0395
830,6,UNTER40-60,2024-11-12,1.15,42.1736,63.0909,0.671658,0.6554,31.0509,90.2384,254.953,6.86,4.283175
