StandortID,Periode,Probenahmedatum,Jahr,Probenart,Parameter,Wert
828,1,1999-12-16,1999,OBER-0-20,CDT_PPM,0.7348
828,1,1999-12-16,1999,UNTER40-60,CDT_PPM,0.28137
828,1,1999-12-16,1999,OBER-0-20,CRT_PPM,33.69403
828,1,1999-12-16,1999,UNTER40-60,CRT_PPM,35.43861
828,1,1999-12-16,1999,OBER-0-20,CUT_PPM,74.9
828,1,1999-12-16,1999,UNTER40-60,CUT_PPM,28.41107
828,1,1999-12-16,1999,OBER-0-20,Hg_AMA_PPM,0.313145
828,1,1999-12-16,1999,OBER-0-20,HGT_PPM,0.2638
828,1,1999-12-16,1999,UNTER40-60,HGT_PPM,0.07561
828,1,1999-12-16,1999,OBER-0-20,NIT_PPM,34.88575
828,1,1999-12-16,1999,UNTER40-60,NIT_PPM,44.30852
828,1,1999-12-16,1999,OBER-0-20,ORG_SUB,10.25
828,1,1999-12-16,1999,UNTER40-60,ORG_SUB,2.33
828,1,1999-12-16,1999,OBER-0-20,PBT_PPM,139.00168
828,1,1999-12-16,1999,UNTER40-60,PBT_PPM,39.75639
828,1,1999-12-16,1999,OBER-0-20,PHCA,6.82
828,1,1999-12-16,1999,UNTER40-60,PHCA,6.88
828,1,1999-12-16,1999,OBER-0-20,ZNT_PPM,288.28714
828,1,1999-12-16,1999,UNTER40-60,ZNT_PPM,99.86579
828,2,2004-11-18,2004,OBER-0-20,CDT_PPM,0.743
828,2,2004-11-18,2004,UNTER40-60,CDT_PPM,0.406
828,2,2004-11-18,2004,OBER-0-20,CRT_PPM,34.6
828,2,2004-11-18,2004,UNTER40-60,CRT_PPM,35.2
828,2,2004-11-18,2004,OBER-0-20,CUT_PPM,90.5
828,2,2004-11-18,2004,UNTER40-60,CUT_PPM,30.2
828,2,2004-11-18,2004,OBER-0-20,Hg_AMA_PPM,0.313
828,2,2004-11-18,2004,OBER-0-20,HGT_PPM,0.235
828,2,2004-11-18,2004,UNTER40-60,HGT_PPM,0.11434
828,2,2004-11-18,2004,OBER-0-20,NIT_PPM,34.4
828,2,2004-11-18,2004,UNTER40-60,NIT_PPM,42
828,2,2004-11-18,2004,OBER-0-20,ORG_SUB,14.505352
828,2,2004-11-18,2004,OBER-0-20,PBT_PPM,177
828,2,2004-11-18,2004,UNTER40-60,PBT_PPM,55.4
828,2,2004-11-18,2004,OBER-0-20,ZNT_PPM,295.3
828,2,2004-11-18,2004,UNTER40-60,ZNT_PPM,107.4
828,3,2009-10-22,2009,OBER-0-20,CDT_PPM,0.684
828,3,2009-10-22,2009,UNTER40-60,CDT_PPM,0.396
828,3,2009-10-22,2009,OBER-0-20,CRT_PPM,32.5
828,3,2009-10-22,2009,UNTER40-60,CRT_PPM,32.6
828,3,2009-10-22,2009,OBER-0-20,CUT_PPM,107.5
828,3,2009-10-22,2009,UNTER40-60,CUT_PPM,44.3
828,3,2009-10-22,2009,OBER-0-20,Hg_AMA_PPM,0.4199
828,3,2009-10-22,2009,OBER-0-20,HGT_PPM,0.26
828,3,2009-10-22,2009,UNTER40-60,HGT_PPM,0.12
828,3,2009-10-22,2009,OBER-0-20,NIT_PPM,32.1
828,3,2009-10-22,2009,UNTER40-60,NIT_PPM,39
828,3,2009-10-22,2009,OBER-0-20,ORG_SUB,13.273012
828,3,2009-10-22,2009,UNTER40-60,ORG_SUB,4.786185
828,3,2009-10-22,2009,OBER-0-20,PBT_PPM,129
828,3,2009-10-22,2009,UNTER40-60,PBT_PPM,56.4
828,3,2009-10-22,2009,OBER-0-20,PHCA,6.69
828,3,2009-10-22,2009,UNTER40-60,PHCA,6.86
828,3,2009-10-22,2009,OBER-0-20,ZNT_PPM,306
828,3,2009-10-22,2009,UNTER40-60,ZNT_PPM,146.5
828,4,2014-12-26,2014,OBER-0-20,CDT_PPM,0.7094245
828,4,2014-12-26,2014,OBER-0-20,CRT_PPM,31.385812
828,4,2014-12-26,2014,OBER-0-20,CUT_PPM,111.3045545
828,4,2014-12-26,2014,OBER-0-20,Hg_AMA_PPM,0.275775
828,4,2014-12-26,2014,OBER-0-20,HGT_PPM,0.233492
828,4,2014-12-26,2014,OBER-0-20,NIT_PPM,32.2771725
828,4,2014-12-26,2014,OBER-0-20,ORG_SUB,11.610457
828,4,2014-12-26,2014,OBER-0-20,PBT_PPM,567.724703
828,4,2014-12-26,2014,OBER-0-20,PHCA,6.73
828,4,2014-12-26,2014,OBER-0-20,ZNT_PPM,322.6737805
828,5,2019-11-13,2019,OBER-0-20,CDT_PPM,0.648
828,5,2019-11-13,2019,UNTER40-60,CDT_PPM,0.334
828,5,2019-11-13,2019,OBER-0-20,CUT_PPM,107
828,5,2019-11-13,2019,UNTER40-60,CUT_PPM,30.1
828,5,2019-11-13,2019,OBER-0-20,Hg_AMA_PPM,0.3034
828,5,2019-11-13,2019,UNTER40-60,Hg_AMA_PPM,0.1499
828,5,2019-11-13,2019,OBER-0-20,HGT_PPM,0.23
828,5,2019-11-13,2019,OBER-0-20,NIT_PPM,29.3
828,5,2019-11-13,2019,UNTER40-60,NIT_PPM,36.5
828,5,2019-11-13,2019,OBER-0-20,ORG_SUB,10.023457
828,5,2019-11-13,2019,UNTER40-60,ORG_SUB,2.641147
828,5,2019-11-13,2019,OBER-0-20,PBT_PPM,128
828,5,2019-11-13,2019,UNTER40-60,PBT_PPM,45.5
828,5,2019-11-13,2019,OBER-0-20,PHCA,6.75
828,5,2019-11-13,2019,UNTER40-60,PHCA,6.69
828,5,2019-11-13,2019,OBER-0-20,ZNT_PPM,294
828,5,2019-11-13,2019,UNTER40-60,ZNT_PPM,104
828,6,2024-11-12,2024,OBER-0-20,CDT_PPM,0.6912
828,6,2024-11-12,2024,UNTER40-60,CDT_PPM,0.4274
828,6,2024-11-12,2024,OBER-0-20,CRT_PPM,29.7054
828,6,2024-11-12,2024,UNTER40-60,CRT_PPM,29.9765
828,6,2024-11-12,2024,OBER-0-20,CUT_PPM,188.9618
828,6,2024-11-12,2024,UNTER40-60,CUT_PPM,43.2314
828,6,2024-11-12,2024,OBER-0-20,Hg_AMA_PPM,0.22359
828,6,2024-11-12,2024,UNTER40-60,Hg_AMA_PPM,0.170796
828,6,2024-11-12,2024,OBER-0-20,HGT_PPM,0.2262
828,6,2024-11-12,2024,UNTER40-60,HGT_PPM,0.1747
828,6,2024-11-12,2024,OBER-0-20,NIT_PPM,30.9407
828,6,2024-11-12,2024,UNTER40-60,NIT_PPM,37.7869
828,6,2024-11-12,2024,OBER-0-20,ORG_SUB,9.87735
828,6,2024-11-12,2024,UNTER40-60,ORG_SUB,3.510375
828,6,2024-11-12,2024,OBER-0-20,PBT_PPM,122.2338
828,6,2024-11-12,2024,UNTER40-60,PBT_PPM,74.3429
828,6,2024-11-12,2024,OBER-0-20,PHCA,6.84
828,6,2024-11-12,2024,UNTER40-60,PHCA,6.81
828,6,2024-11-12,2024,OBER-0-20,ZNT_PPM,314.0482
828,6,2024-11-12,2024,UNTER40-60,ZNT_PPM,147.7029
829,1,1999-12-16,1999,OBER-0-20,CDT_PPM,2.91544
829,1,1999-12-16,1999,UNTER40-60,CDT_PPM,0.33179
829,1,1999-12-16,1999,OBER-0-20,CRT_PPM,48.54652
829,1,1999-12-16,1999,UNTER40-60,CRT_PPM,34.81895
829,1,1999-12-16,1999,OBER-0-20,CUT_PPM,326.68122
829,1,1999-12-16,1999,UNTER40-60,CUT_PPM,38.60582
829,1,1999-12-16,1999,OBER-0-20,Hg_AMA_PPM,1.4766
829,1,1999-12-16,1999,OBER-0-20,HGT_PPM,1.229
829,1,1999-12-16,1999,UNTER40-60,HGT_PPM,0.19725
829,1,1999-12-16,1999,OBER-0-20,NIT_PPM,36.58068
829,1,1999-12-16,1999,UNTER40-60,NIT_PPM,41.38365
829,1,1999-12-16,1999,OBER-0-20,ORG_SUB,9.16
829,1,1999-12-16,1999,UNTER40-60,ORG_SUB,2.6
829,1,1999-12-16,1999,OBER-0-20,PBT_PPM,237.37927
829,1,1999-12-16,1999,UNTER40-60,PBT_PPM,43.35269
829,1,1999-12-16,1999,OBER-0-20,PHCA,6.835
829,1,1999-12-16,1999,UNTER40-60,PHCA,6.93
829,1,1999-12-16,1999,OBER-0-20,ZNT_PPM,525.20465
